,symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
1399,UST,2024-09-24 23:59:59,2024-09-24 00:00:00,2024-09-24 23:59:59,2024-09-24 23:02:00,2024-09-24 02:17:00,0.017781269,0.0184082379,0.0176039925,0.0183080901,5647087.39,106750556.81,5830786067.4
1400,UST,2024-09-25 23:59:59,2024-09-25 00:00:00,2024-09-25 23:59:59,2024-09-25 06:01:00,2024-09-25 23:46:00,0.0183080901,0.0186998743,0.0178104245,0.0178931584,7333082.24,104330723.9,5830760650.62
1401,UST,2024-09-26 23:59:59,2024-09-26 00:00:00,2024-09-26 23:59:59,2024-09-26 17:01:00,2024-09-26 01:40:00,0.0178931584,0.0188365742,0.0175292532,0.0184216248,6986131.37,107411439.57,5830725607.86
1402,UST,2024-09-27 23:59:59,2024-09-27 00:00:00,2024-09-27 23:59:59,2024-09-27 16:11:00,2024-09-27 03:07:00,0.0184216248,0.0195852948,0.0183108861,0.0191339703,8482422.63,111564574.21,5830706978.35
1403,UST,2024-09-28 23:59:59,2024-09-28 00:00:00,2024-09-28 23:59:59,2024-09-28 02:38:00,2024-09-28 09:10:00,0.0191339703,0.0195768913,0.0183319665,0.0187428692,8495071.06,109283980.61,5830696439.93
1404,UST,2024-09-29 23:59:59,2024-09-29 00:00:00,2024-09-29 23:59:59,2024-09-29 13:31:00,2024-09-29 06:52:00,0.0187428692,0.0274702253,0.0185532699,0.0238409119,157736640.43,139004523.08,5830503628.06
1405,UST,2024-09-30 23:59:59,2024-09-30 00:00:00,2024-09-30 23:59:59,2024-09-30 00:00:00,2024-09-30 23:43:00,0.0238409119,0.0238409119,0.0205492443,0.0207323062,48720439.59,120878985.92,5830465011.45
1406,UST,2024-10-01 23:59:59,2024-10-01 00:00:00,2024-10-01 23:59:59,2024-10-01 12:13:00,2024-10-01 00:23:00,0.0207323062,0.0253518567,0.0205623558,0.0225397479,96335313.35,131418892.22,5830539578.15
1407,UST,2024-10-02 23:59:59,2024-10-02 00:00:00,2024-10-02 23:59:59,2024-10-02 09:10:00,2024-10-02 19:09:00,0.0225397479,0.0244503064,0.0211680796,0.0221539594,55921283.97,129168017.22,5830470983.04
1408,UST,2024-10-03 23:59:59,2024-10-03 00:00:00,2024-10-03 23:59:59,2024-10-03 06:13:00,2024-10-03 15:43:00,0.0221539594,0.0226558285,0.01993483,0.0208023822,20279794.07,121262155.62,5830445681.44
1409,UST,2024-10-04 23:59:59,2024-10-04 00:00:00,2024-10-04 23:59:59,2024-10-04 08:11:00,2024-10-04 00:42:00,0.0207980937,0.0236845124,0.0199247238,0.0220767148,52411809.84,128716579.82,5830422729.11
1410,UST,2024-10-05 23:59:59,2024-10-05 00:00:00,2024-10-05 23:59:59,2024-10-05 18:42:00,2024-10-05 04:19:00,0.0220767148,0.0244395203,0.0215043309,0.0230748318,54405711.55,134535594.05,5830404113.66
1411,UST,2024-10-06 23:59:59,2024-10-06 00:00:00,2024-10-06 23:59:59,2024-10-06 06:28:00,2024-10-06 03:02:00,0.0230748318,0.0245408707,0.0227525941,0.0232832061,37728145.51,135749861.78,5830376669.57
1412,UST,2024-10-07 23:59:59,2024-10-07 00:00:00,2024-10-07 23:59:59,2024-10-07 19:38:00,2024-10-07 19:02:00,0.0232832061,0.0248939558,0.0221771981,0.0234588638,60778347.35,136773163.76,5830340491.39
1413,UST,2024-10-08 23:59:59,2024-10-08 00:00:00,2024-10-08 23:59:59,2024-10-08 01:22:00,2024-10-08 19:10:00,0.0234588638,0.0236138324,0.0210124827,0.0213923534,30072730.17,124723742.05,5830295499.62
1414,UST,2024-10-09 23:59:59,2024-10-09 00:00:00,2024-10-09 23:59:59,2024-10-09 01:31:00,2024-10-09 20:28:00,0.0213923534,0.0215350848,0.0202388341,0.0207564066,13779489.73,121015447.69,5830269647.57
1415,UST,2024-10-10 23:59:59,2024-10-10 00:00:00,2024-10-10 23:59:59,2024-10-10 03:31:00,2024-10-10 18:02:00,0.0207564066,0.0210021886,0.0198370553,0.0204677668,10261891.69,119332227.03,5830251447.17
