timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-08-08T00:00:00.000Z";"2022-08-08T23:59:59.999Z";"2022-08-08T12:13:00.000Z";"2022-08-08T23:38:00.000Z";"2781";0.0323103594;0.0326506151;0.0313959003;0.0314305603;8074193.74;308506410.76;9815491921.98;"2022-08-08T23:59:59.999Z"
"2022-08-07T00:00:00.000Z";"2022-08-07T23:59:59.999Z";"2022-08-07T00:00:00.000Z";"2022-08-07T11:34:00.000Z";"2781";0.0335244679;0.0335244679;0.0319844627;0.0323086187;8401865.09;317124985.58;9815491922.55;"2022-08-07T23:59:59.999Z"
"2022-08-06T00:00:00.000Z";"2022-08-06T23:59:59.999Z";"2022-08-06T03:16:00.000Z";"2022-08-06T05:34:00.000Z";"2781";0.0336865555;0.033852065;0.033139056;0.0335273325;7393752.35;329087262.12;9815491938.78;"2022-08-06T23:59:59.999Z"
"2022-08-05T00:00:00.000Z";"2022-08-05T23:59:59.999Z";"2022-08-05T03:07:00.000Z";"2022-08-05T01:01:00.000Z";"2781";0.0334006249;0.0340302715;0.0332073789;0.0336902361;8323600.38;330686240.3;9815491929.7;"2022-08-05T23:59:59.999Z"
"2022-08-04T00:00:00.000Z";"2022-08-04T23:59:59.999Z";"2022-08-04T04:49:00.000Z";"2022-08-04T17:07:00.000Z";"2781";0.0335344708;0.0343231624;0.0330506772;0.0334064339;8164272.53;327900581.99;9815491931.78;"2022-08-04T23:59:59.999Z"
"2022-08-03T00:00:00.000Z";"2022-08-03T23:59:59.999Z";"2022-08-03T09:20:00.000Z";"2022-08-03T23:59:00.000Z";"2781";0.0342190921;0.034716387;0.0335348994;0.0335348994;8509559.54;329161431.57;9815488875.47;"2022-08-03T23:59:59.999Z"
"2022-08-02T00:00:00.000Z";"2022-08-02T23:59:59.999Z";"2022-08-02T00:14:00.000Z";"2022-08-02T14:29:00.000Z";"2781";0.0359638755;0.0360263565;0.0337081041;0.0342282144;11466418.29;335966732.42;9815491051.52;"2022-08-02T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-01T23:59:59.999Z";"2022-08-01T07:30:00.000Z";"2022-08-01T00:00:00.000Z";"2781";0.0349353022;0.0392244693;0.0349353022;0.0359622902;22265002.56;352987554.74;9815491521.11;"2022-08-01T23:59:59.999Z"
"2022-07-31T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-31T18:10:00.000Z";"2022-07-31T23:13:00.000Z";"2781";0.0352261964;0.0361927875;0.0347967424;0.0349566294;11618512.25;343116500.35;9815491556.97;"2022-07-31T23:59:59.999Z"
"2022-07-30T00:00:00.000Z";"2022-07-30T23:59:59.999Z";"2022-07-30T14:40:00.000Z";"2022-07-30T06:25:00.000Z";"2781";0.0356763105;0.0374902397;0.0348595059;0.0352258369;14077450.19;345758822.19;9815489205.92;"2022-07-30T23:59:59.999Z"
