hit_date,z_score,PC,hit_direction,abs_z_score,close_price
2021-09-07,3.1409661355615643,PC3,upper,3.1409661355615643,1.00026176
2021-09-11,3.418477829400333,PC3,upper,3.418477829400333,1.00097082
2021-10-23,3.1912857866091,PC3,upper,3.1912857866091,1.0011993898
2022-05-09,3.5966755488946176,PC3,upper,3.5966755488946176,0.9995946975
2022-11-08,-3.4354690558801413,PC3,lower,3.4354690558801413,0.9999817544
2022-12-13,-3.7367973900272746,PC3,lower,3.7367973900272746,1.0001340649
2022-12-14,-3.205358487143142,PC3,lower,3.205358487143142,0.9997852382
2023-03-12,5.672607729750128,PC3,upper,5.672607729750128,0.9920691726
2023-06-30,4.388391877036409,PC3,upper,4.388391877036409,1.0002531231
2023-09-29,3.258557274267352,PC3,upper,3.258557274267352,1.0000945145
2023-12-11,-3.1834893086910774,PC3,lower,3.1834893086910774,1.0000800348
2024-03-08,3.0423003410864506,PC3,upper,3.0423003410864506,0.9998973346
2024-08-05,3.6029731188276917,PC3,upper,3.6029731188276917,1.0000165762
2025-01-17,-3.16812042922786,PC3,lower,3.16812042922786,0.9999291988
2025-01-20,-3.7525865256639306,PC3,lower,3.7525865256639306,1.0001074038
2025-11-03,-3.2561964168397597,PC3,lower,3.2561964168397597,0.9999010574
2021-11-21,3.7099047523266293,PC4,upper,3.7099047523266293,1.0002346445
2022-01-08,-3.2364407007986986,PC4,lower,3.2364407007986986,0.9995124213
2022-03-17,-3.116350800465793,PC4,lower,3.116350800465793,0.9997839373
2022-11-07,-3.607773422805761,PC4,lower,3.607773422805761,1.0003233485
2023-01-14,3.56356162801586,PC4,upper,3.56356162801586,1.0000837939
2023-02-20,3.2549027829779873,PC4,upper,3.2549027829779873,1.0001430132
2023-10-16,-3.156982832649367,PC4,lower,3.156982832649367,1.0002074264
2024-04-18,-3.0715192867109304,PC4,lower,3.0715192867109304,1.0001622264
2024-09-19,3.1180959927668144,PC4,upper,3.1180959927668144,0.9999452165
2024-09-20,3.0443210400571012,PC4,upper,3.0443210400571012,1.0000149952
2024-11-11,3.0162974982385884,PC4,upper,3.0162974982385884,0.9997779204
2025-07-14,3.914391435829987,PC4,upper,3.914391435829987,0.9998438369
2026-01-30,3.181839398370879,PC4,upper,3.181839398370879,0.9997646619
2021-07-26,3.773807581501481,PC5,upper,3.773807581501481,1.00010799
2021-11-16,3.068859937196501,PC5,upper,3.068859937196501,1.0004254468
2022-11-06,3.4573391166854774,PC5,upper,3.4573391166854774,0.999869271
2022-11-12,-4.729933718412966,PC5,lower,4.729933718412966,1.0002235038
2023-04-10,3.1550426214268037,PC5,upper,3.1550426214268037,0.9997167138
2023-11-10,3.8820638452773326,PC5,upper,3.8820638452773326,0.9995419959
2025-07-13,3.102754741597797,PC5,upper,3.102754741597797,0.9999603046
2026-01-01,3.0617462032341165,PC5,upper,3.0617462032341165,0.9997575084
2021-05-02,3.366547483540988,PC6,upper,3.366547483540988,0.99994853
2021-09-09,4.587001336345185,PC6,upper,4.587001336345185,1.00020989
2022-01-07,3.593209310317524,PC6,upper,3.593209310317524,1.0004773771
2022-01-08,-3.513192675951734,PC6,lower,3.513192675951734,0.9995124213
2023-10-21,3.1721857949366656,PC6,upper,3.1721857949366656,0.9999493196
2024-03-02,3.5102329752123453,PC6,upper,3.5102329752123453,0.9997945445
2026-01-30,-3.3994873611032332,PC6,lower,3.3994873611032332,0.9997646619
2021-04-29,-3.7779570687975976,PC7,lower,3.7779570687975976,1.00014365
2021-11-11,3.172594642253262,PC7,upper,3.172594642253262,0.9998555834
2021-11-16,4.23967360038346,PC7,upper,4.23967360038346,1.0004254468
2021-12-31,-4.40531555819494,PC7,lower,4.40531555819494,1.000038906
2023-01-09,-3.351834939291871,PC7,lower,3.351834939291871,1.0000461006
2023-03-18,3.396998710478242,PC7,upper,3.396998710478242,0.9995019398
2023-07-27,-3.146187601577813,PC7,lower,3.146187601577813,0.9998058668
2024-08-04,-3.397087074057633,PC7,lower,3.397087074057633,0.9999711301
2024-08-19,-3.477203891958191,PC7,lower,3.477203891958191,1.0001667944
2025-04-22,3.1311620830304077,PC7,upper,3.1311620830304077,0.9998036827
2025-04-24,3.3761751240521605,PC7,upper,3.3761751240521605,0.9998430822
2025-09-17,3.4915063222867535,PC7,upper,3.4915063222867535,0.9999034888
2021-04-04,3.0136496899435383,PC8,upper,3.0136496899435383,1.00295733
2021-06-26,-3.0865767606538244,PC8,lower,3.0865767606538244,1.00143569
2022-03-17,5.290620666640756,PC8,upper,5.290620666640756,0.9997839373
2022-03-18,3.142103266500644,PC8,upper,3.142103266500644,0.9998481757
2022-04-08,4.127718999214061,PC8,upper,4.127718999214061,0.9997413001
2023-06-15,3.13101889574055,PC8,upper,3.13101889574055,1.0000848915
2023-07-27,4.05903642057603,PC8,upper,4.05903642057603,0.9998058668
2024-08-03,-3.2255804919523596,PC8,lower,3.2255804919523596,1.0000569717
2024-09-19,3.284824331478022,PC8,upper,3.284824331478022,0.9999452165
2025-06-20,3.0346678486351895,PC8,upper,3.0346678486351895,0.9999424981
2025-07-11,3.0234792912501054,PC8,upper,3.0234792912501054,0.9994402231
2025-09-17,-3.644217491663024,PC8,lower,3.644217491663024,0.9999034888
2025-10-09,3.0946718730454923,PC8,upper,3.0946718730454923,0.9998283045
2021-04-19,-4.612976069877803,PC9,lower,4.612976069877803,0.99996707
2022-01-14,-3.7735910037982263,PC9,lower,3.7735910037982263,1.000034125
2022-11-17,-3.4138649229130795,PC9,lower,3.4138649229130795,1.0001621022
2022-12-15,3.0959314478416537,PC9,upper,3.0959314478416537,1.0000154917
2023-07-01,3.8539838127694996,PC9,upper,3.8539838127694996,1.0001343796
2024-08-25,3.091669976294415,PC9,upper,3.091669976294415,1.0000367191
2024-09-19,-4.147214701722008,PC9,lower,4.147214701722008,0.9999452165
2025-01-19,-3.304199189939467,PC9,lower,3.304199189939467,1.0005192132
2025-02-24,-3.189655184592373,PC9,lower,3.189655184592373,0.9998038427
2025-06-23,3.2026657654415702,PC9,upper,3.2026657654415702,1.0004329165
2025-06-29,-3.000230115770672,PC9,lower,3.000230115770672,0.9998699094
2025-08-09,3.0893614297946743,PC9,upper,3.0893614297946743,0.9999488748
